episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
1,-100.5340563809809,-100.5340563809809,90,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.995,90,0.0
2,-288.22207482502967,-194.37806560300527,95,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.990025,185,0.06229552626609802
3,-266.78598970006976,-218.51404030202676,116,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.985074875,301,0.0
4,-90.64041429950741,-186.54563380139692,134,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9801495006250001,435,0.06381296863158543
5,-283.23554686117177,-205.88361641335186,100,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9752487531218751,535,0.08009887610872586
6,-108.85932905035982,-189.71290185285318,79,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9703725093562657,614,0.06022641062736511
7,-217.60702915795315,-193.69777718215317,68,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9655206468094844,682,0.11576819916566213
8,-355.059919926813,-213.86804502523563,99,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.960693043575437,781,0.1078580990433693
9,-272.8516337662803,-220.42177710757394,106,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9558895783575597,887,0.09729368798434734
10,5.06867028624913,-197.87273236819163,82,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9511101304657719,969,0.06124207526445389
11,-194.65728242174632,-197.58041873669663,73,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.946354579813443,1042,0.0981540468831857
12,-246.1928178401068,-201.63145199531414,74,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9416228069143757,1116,0.09613645263016224
13,-156.0997306073686,-198.1290118885491,115,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9369146928798039,1231,0.0762583427131176
14,-91.53451885393979,-190.51511952893415,118,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9322301194154049,1349,0.0760124757885933
15,-113.88959158289892,-185.40675099919847,100,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9275689688183278,1449,0.07045164331793785
16,-115.14367261333793,-181.0153086000822,118,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9229311239742362,1567,0.07463393515596788
17,-198.64107483940546,-182.0521183788659,101,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.918316468354365,1668,0.0716168037192388
18,-125.66685652775104,-178.91960383158175,98,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9137248860125932,1766,0.0635535384217898
19,-136.85923289001175,-176.70590009781492,60,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9091562615825302,1826,0.08410215377807617
20,-369.33409396221543,-186.33730979103493,66,0.0,0.001,1,dqn_epsilon_decay_opt_seed1,0.9046104802746175,1892,0.0707075937340657
